Episode,Secret_Word,Num_Guesses,Total_Distance,Average_Distance,Correct_Guess,Avg_Decrease_Distance_Per_Guess
1,demobilization,100,290,2.9,False,0.0
2,schocken,100,287,2.87,False,0.0
3,sane,100,321,3.21,False,-0.02
4,historica,100,307,3.07,False,-0.02
5,reconsidered,100,290,2.9,False,0.0
6,ido,100,429,4.29,False,-0.01
7,animists,100,294,2.94,False,0.0
8,hangs,100,316,3.16,False,0.0
9,irrelevent,100,431,4.31,False,0.0
10,membrane,100,523,5.23,False,0.01
11,basques,100,390,3.9,False,0.01
12,bacharach,100,350,3.5,False,-0.01
13,talvela,100,274,2.74,False,0.0
14,jak,100,354,3.54,False,0.0
15,admiral,100,508,5.08,False,0.0
16,relations,100,553,5.53,False,-0.01
17,chivalry,100,297,2.97,False,0.01
18,divergences,100,257,2.57,False,0.02
19,webpages,100,287,2.87,False,-0.02
20,vehemently,100,405,4.05,False,-0.02
21,effluents,100,292,2.92,False,-0.01
22,gaels,100,401,4.01,False,-0.01
23,undercroft,100,274,2.74,False,0.01
24,trochaic,100,291,2.91,False,0.02
25,tonewheels,100,278,2.78,False,-0.01
26,cplds,100,284,2.84,False,0.0
27,liaoning,100,261,2.61,False,0.01
28,midfield,100,270,2.7,False,0.0
29,tur,100,430,4.3,False,0.0
30,brassy,100,275,2.75,False,-0.01
31,keen,100,411,4.11,False,0.01
32,asheville,100,391,3.91,False,-0.02
33,nok,100,307,3.07,False,0.0
34,succinct,100,342,3.42,False,0.0
35,nog,100,259,2.59,False,0.0
36,bulldozer,100,312,3.12,False,-0.01
37,dzerzhinsky,100,302,3.02,False,0.0
38,magisterial,100,296,2.96,False,-0.01
39,incline,100,295,2.95,False,-0.01
40,maclisp,100,288,2.88,False,0.0
41,douglass,100,441,4.41,False,0.01
42,blogs,100,373,3.73,False,0.02
43,quilting,100,235,2.35,False,0.01
44,neville,100,406,4.06,False,0.03
45,isaias,100,384,3.84,False,-0.02
46,struggle,100,449,4.49,False,0.01
47,brockovich,100,328,3.28,False,0.0
48,embracing,100,285,2.85,False,0.02
49,disobedience,100,412,4.12,False,0.01
50,mie,100,512,5.12,False,0.0
51,vojvodina,100,344,3.44,False,-0.01
52,skier,100,463,4.63,False,0.01
53,mascot,100,415,4.15,False,0.01
54,origin,100,489,4.89,False,0.01
55,drapeau,100,292,2.92,False,0.02
56,flame,100,448,4.48,False,-0.01
57,tromelin,100,320,3.2,False,0.0
58,substitute,100,350,3.5,False,0.0
59,munitions,100,372,3.72,False,-0.01
60,maududi,100,279,2.79,False,0.03
61,fasciculata,100,294,2.94,False,0.03
62,sangre,100,338,3.38,False,-0.02
63,cares,100,407,4.07,False,0.0
64,crimefighting,100,263,2.63,False,0.0
65,abbas,100,390,3.9,False,-0.01
66,despotate,100,373,3.73,False,0.01
67,mitterrand,100,389,3.89,False,0.0
68,jurisdictions,100,474,4.74,False,0.0
69,adages,100,330,3.3,False,0.02
70,ryanair,100,270,2.7,False,0.0
71,creators,100,350,3.5,False,0.01
72,finale,100,385,3.85,False,-0.01
73,assassinates,100,255,2.55,False,0.01
74,weekend,100,400,4.0,False,-0.01
75,adults,100,419,4.19,False,0.02
76,wuhan,100,370,3.7,False,-0.02
77,airplanes,100,361,3.61,False,0.0
78,courtiers,100,298,2.98,False,0.02
79,muttiah,100,341,3.41,False,-0.02
80,curiosities,100,299,2.99,False,0.03
81,kos,100,296,2.96,False,0.0
82,editorials,100,316,3.16,False,0.0
83,uncounted,100,279,2.79,False,-0.01
84,debris,100,354,3.54,False,0.0
85,ibelin,100,325,3.25,False,0.0
86,events,100,501,5.01,False,-0.01
87,dames,100,280,2.8,False,-0.02
88,nyos,100,338,3.38,False,-0.01
89,superscript,100,294,2.94,False,0.0
90,gyges,100,277,2.77,False,-0.02
91,handler,100,363,3.63,False,0.01
92,agesilaus,100,292,2.92,False,-0.01
93,diminutive,100,312,3.12,False,0.0
94,ductile,100,407,4.07,False,0.01
95,dga,100,262,2.62,False,-0.01
96,profiting,100,343,3.43,False,0.0
97,interbreeding,100,287,2.87,False,0.03
98,abb,100,338,3.38,False,-0.02
99,dios,100,349,3.49,False,0.02
100,furrows,100,309,3.09,False,-0.03
101,miniseries,100,424,4.24,False,0.0
102,beefheart,100,387,3.87,False,-0.01
103,maynard,100,501,5.01,False,-0.01
104,codices,100,328,3.28,False,0.01
105,serra,100,372,3.72,False,0.0
106,aqueous,100,474,4.74,False,0.01
107,paclitaxel,100,272,2.72,False,0.02
108,melton,100,344,3.44,False,0.01
109,alanis,100,331,3.31,False,0.01
110,district,100,535,5.35,False,0.0
111,netanya,100,298,2.98,False,0.0
112,aren,100,438,4.38,False,0.01
113,aquitaine,100,427,4.27,False,0.0
114,deimos,100,298,2.98,False,-0.02
115,fabrizio,100,254,2.54,False,-0.02
116,binomial,100,536,5.36,False,0.0
117,hadadezer,100,274,2.74,False,-0.02
118,ingested,100,378,3.78,False,0.01
119,espoused,100,341,3.41,False,-0.01
120,cassatt,100,359,3.59,False,-0.01
121,marshes,100,371,3.71,False,0.0
122,sonia,100,341,3.41,False,0.0
123,hyksos,100,324,3.24,False,-0.02
124,conlang,100,331,3.31,False,0.01
125,unable,100,423,4.23,False,0.01
126,tailless,100,272,2.72,False,0.01
127,aegina,100,420,4.2,False,-0.01
128,steroids,100,379,3.79,False,0.0
129,inherently,100,438,4.38,False,-0.01
130,maida,100,256,2.56,False,0.01
131,reclusive,100,351,3.51,False,-0.01
132,tiring,100,259,2.59,False,-0.01
133,borscht,100,262,2.62,False,-0.01
134,blohm,100,292,2.92,False,0.01
135,baha,100,315,3.15,False,0.0
136,harmonised,100,275,2.75,False,0.02
137,mostel,100,296,2.96,False,0.0
138,baffin,100,365,3.65,False,-0.02
139,monopolization,100,280,2.8,False,-0.01
140,vcrs,100,275,2.75,False,0.0
141,hoddle,100,275,2.75,False,0.0
142,accommodating,100,316,3.16,False,0.0
143,mtdna,100,244,2.44,False,0.01
144,majuro,100,293,2.93,False,0.0
145,pizarro,100,381,3.81,False,-0.02
146,cumin,100,376,3.76,False,0.0
147,ccd,100,338,3.38,False,0.0
148,huddle,100,342,3.42,False,0.01
149,psychiatrists,100,362,3.62,False,0.02
150,fasa,100,349,3.49,False,0.01
151,mau,100,354,3.54,False,0.0
152,tannaim,100,251,2.51,False,0.01
153,nephites,100,296,2.96,False,-0.01
154,usurpers,100,279,2.79,False,0.02
155,veld,100,253,2.53,False,0.01
156,tokyopop,100,308,3.08,False,0.0
157,diversity,100,419,4.19,False,0.0
158,erasable,100,355,3.55,False,0.03
159,squid,100,416,4.16,False,-0.01
160,hadadezer,100,274,2.74,False,0.02
161,spacing,100,392,3.92,False,-0.02
162,overrides,100,293,2.93,False,-0.02
163,fulfillment,100,352,3.52,False,-0.01
164,corneille,100,318,3.18,False,0.0
165,ontogeny,100,327,3.27,False,0.02
166,celsius,100,504,5.04,False,-0.01
167,faraway,100,315,3.15,False,0.0
168,ordinance,100,366,3.66,False,0.0
169,intermap,100,261,2.61,False,-0.02
170,valentino,100,362,3.62,False,-0.03
171,mallards,100,313,3.13,False,-0.01
172,lances,100,310,3.1,False,0.0
173,derogatorily,100,304,3.04,False,0.0
174,jaguars,100,392,3.92,False,0.0
175,celibate,100,309,3.09,False,0.01
176,known,100,508,5.08,False,0.0
177,forced,100,452,4.52,False,-0.01
178,swordfish,100,342,3.42,False,0.0
179,complacent,100,282,2.82,False,0.0
180,erlbaum,100,364,3.64,False,0.01
181,flops,100,442,4.42,False,0.0
182,healing,100,441,4.41,False,0.01
183,espouses,100,289,2.89,False,0.0
